x,y,z
1004,90,-125
1004,-43,-125
969,90,-121
973,-12,-137
1000,-16,-121
961,82,-121
973,-55,-109
1000,12,-133
969,-102,-141
973,-59,-125
1012,43,-133
996,-109,-148
988,-20,-125
1012,43,-129
996,-90,-152
965,-102,-117
1004,55,-121
988,-59,-141
969,-86,-117
1039,94,-117
984,113,-148
1008,12,-141
996,35,-141
988,-66,-125
965,-156,-113
992,59,-129
992,-31,-125
973,-133,-148
1031,102,-145
984,-35,-125
984,-4,-137
1000,98,-125
1031,-12,-129
965,-148,-152
1012,102,-129
1008,-8,-133
965,-129,-164
1004,145,-121
1008,4,-121
984,27,-121
1031,70,-117
977,-51,-152
980,-94,-117
1020,82,-125
980,-12,-137
977,-90,-125
1023,109,-109
992,8,-137
1004,4,-133
996,78,-133
1000,-39,-125
965,113,-117
973,-27,-117
1008,-20,-121
965,90,-121
957,-47,-113
1012,-4,-125
969,-51,-133
1000,121,-125
1016,23,-121
988,-121,-156
992,-35,-137
1000,39,-125
992,-94,-156
969,-86,-129
1000,51,-121
984,82,-148
1031,102,-121
996,0,-145
973,-90,-125
961,-23,-133
988,23,-137
984,-82,-121
965,-152,-148
992,8,-129
996,-51,-121
969,-141,-148
996,94,-141
1027,-31,-133
977,-90,-145
996,109,-133
1047,-16,-113
973,-133,-148
988,55,-129
1020,8,-129
1004,148,-121
1023,78,-121
996,-31,-137
973,-86,-113
1031,82,-121
984,-43,-152
973,-78,-125
1027,74,-125
988,-8,-141
980,-94,-125
1027,105,-121
977,12,-145
1023,90,-125
969,102,-105
980,-20,-117
984,8,-125
973,-43,-117
1004,0,-125
973,-137,-156
973,-39,-121
1016,12,-133
996,-125,-152
961,-86,-113
1004,35,-129
980,-82,-152
973,-78,-121
1027,66,-121
992,-63,-145
988,-51,-125
1023,78,-125
1004,109,-145
1031,117,-121
992,16,-137
980,-59,-125
973,-152,-152
1004,74,-137
1012,-27,-137
965,-133,-148
1004,86,-125
1031,-51,-133
996,-31,-141
996,86,-129
1023,-20,-121
957,-152,-156
1004,63,-121
1023,4,-133
1000,141,-117
1012,63,-125
988,-59,-145
977,-63,-121
1023,74,-129
988,-51,-156
977,-94,-109
1020,51,-125
984,-31,-148
977,-109,-125
1031,98,-129
996,-4,-145
980,-82,-121
1039,117,-121
973,23,-137
1016,16,-125
992,90,-133
1000,-23,-148
957,-148,-113
988,43,-125
1004,-4,-137
965,-137,-109
1008,141,-125
1008,-12,-121
969,-121,-121
1008,148,-121
1016,31,-129
1016,-4,-129
965,-70,-117
1020,47,-125
984,141,-152
1000,55,-125
984,-8,-137
984,121,-117
973,-137,-137
1000,-8,-129
980,82,-125
969,-129,-137
988,47,-137
1020,-43,-129
969,-113,-141
1004,63,-133
1035,-63,-129
973,-94,-141
996,66,-137
1031,-35,-133
961,-156,-152
1004,59,-133
1027,35,-125
1000,141,-125
1012,43,-125
988,-70,-148
977,-63,-117
1016,63,-125
977,-90,-156
977,-74,-125
1027,59,-125
980,-63,-145
969,-102,-121
1008,66,-125
977,-35,-145
980,-90,-121
1039,109,-117
988,-4,-137
980,-66,-125
1035,98,-117
973,20,-141
1020,82,-125
988,78,-129
996,-31,-133
957,-156,-117
1012,66,-125
1008,-20,-129
961,-133,-152
1004,141,-129
1000,16,-125
988,121,-156
1027,70,-113
973,-59,-156
984,74,-117
988,-66,-137
980,-31,-148
965,121,-98
992,-63,-129
992,-4,-141
973,-90,-121
1035,117,-121
1008,4,-133
1035,-74,-129
961,-137,-148
1000,43,-141
965,-31,-129
969,-129,-152
992,78,-133
1039,82,-125
1012,43,-133
1000,16,-117
953,-113,-141
965,-78,-125
1004,-8,-125
977,39,-117
965,-86,-117
1020,59,-117
992,-20,-148
965,-82,-129
1031,66,-117
984,-70,-160
980,-31,-125
1027,78,-125
980,-47,-145
980,-90,-125
1020,51,-125
980,-16,-148
965,-102,-113
1008,98,-121
980,51,-145
1039,102,-125
1004,94,-133
992,-39,-129
969,-109,-148
1000,109,-125
1008,-27,-125
973,-105,-141
992,98,-129
1023,-4,-125
957,-141,-156
992,39,-125
1012,20,-129
1031,133,-145
1008,94,-125
992,4,-145
1027,-78,-133
984,-94,-145
988,-27,-145
1020,-35,-109
1031,94,-125
992,-4,-141
980,-94,-117
1031,47,-133
988,27,-141
1047,102,-133
996,121,-129
1004,-4,-137
973,82,-125
973,-63,-121
1012,4,-133
977,-82,-137
973,-70,-121
1008,31,-125
988,-90,-148
969,-55,-125
1016,43,-125
988,-98,-156
957,-43,-125
1031,59,-125
980,-66,-156
977,-94,-113
1023,12,-137
984,-35,-145
938,-102,-105
1023,98,-113
984,39,-141
1027,102,-117
1004,86,-137
988,-47,-121
980,-82,-121
1004,90,-133
1000,-39,-129
969,-125,-145
996,86,-141
1004,-8,-129
957,-145,-156
1008,59,-125
1012,8,-121
1023,125,-156
1008,82,-121
973,8,-117
977,-82,-121
984,-90,-137
988,-27,-145
980,-35,-121
1035,98,-125
992,-8,-141
984,-94,-121
1027,66,-125
992,23,-145
1051,-78,-133
977,-113,-145
988,43,-137
1031,82,-125
1000,137,-113
977,27,-137
969,-105,-145
969,-70,-121
1012,23,-129
961,-4,-129
969,-66,-125
1027,39,-125
961,-105,-148
977,-31,-125
1023,59,-113
980,-78,-148
980,-86,-121
1012,55,-125
988,-51,-160
973,-105,-121
957,51,-129
977,-16,-141
973,-98,-125
1039,113,-113
1008,20,-117
1039,98,-121
1004,86,-125
1008,-47,-129
969,-74,-133
996,102,-133
1008,-8,-129
969,-129,-145
996,94,-133
1027,0,-129
988,148,-152
1008,63,-125
977,-59,-148
973,145,-129
984,-82,-125
988,12,-133
1039,-86,-125
977,-105,-141
984,-12,-141
984,-39,-125
1039,98,-117
984,23,-145
1027,-66,-137
980,-98,-137
992,43,-137
1035,105,-121
1051,20,-117
992,-4,-117
965,86,-121
965,-66,-129
1000,-8,-137
973,63,-129
961,-74,-117
1020,35,-125
973,-66,-156
969,-78,-117
1023,63,-125
988,-51,-145
980,-66,-121
988,63,-133
988,-59,-141
988,-23,-121
1016,82,-125
988,-39,-145
977,-94,-125
1016,63,-121
973,86,-137
1055,125,-113
996,66,-133
996,-35,-125
965,-152,-121
992,109,-137
984,-12,-137
965,-129,-148
984,121,-137
996,-16,-121
996,-55,-148
1008,125,-133
1023,8,-129
996,141,-145
1027,39,-125
973,-74,-156
973,-102,-121
984,55,-129
980,-43,-148
980,-90,-117
1035,98,-125
988,8,-145
1027,-78,-117
984,-125,-152
996,0,-145
1027,66,-125
1000,82,-133
1000,-43,-133
977,66,-125
969,-8,-129
1004,-35,-129
957,102,-125
984,-8,-117
1012,-8,-125
957,82,-125
977,-63,-117
1004,8,-121
996,-117,-160
965,-90,-113
969,12,-117
988,-94,-145
965,-86,-121
1023,51,-129
1004,-35,-133
965,-78,-125
1035,74,-125
977,109,-141
1035,78,-129
984,20,-141
988,-82,-125
984,-55,-125
988,39,-141
1043,-78,-164
965,-137,-148
1000,39,-137
984,-47,-125
957,-164,-148
996,66,-133
1023,-31,-125
953,-148,-152
1000,125,-129
965,-12,-141
965,-133,-156
992,141,-125
1016,8,-129
992,82,-113
1012,63,-125
980,-86,-148
980,-70,-117
1023,63,-129
977,-47,-156
980,-105,-125
1016,16,-133
988,-23,-152
977,-102,-125
1039,98,-125
977,-4,-145
984,-78,-117
1047,109,-121
992,12,-129
1027,86,-117
984,109,-113
992,-27,-117
969,-51,-121
1000,113,-129
996,-8,-125
973,-125,-121
1008,102,-129
1008,0,-121
996,-137,-160
1016,-31,-133
1016,31,-125
984,148,-156
1031,94,-121
980,-12,-129
980,117,-117
977,-117,-125
1000,-8,-141
984,94,-125
977,-129,-145
1004,27,-141
996,-27,-125
969,-133,-137
1000,55,-145
1039,-59,-121
980,-105,-145
988,78,-133
1039,-43,-129
980,-23,-133
988,94,-125
1047,-39,-102
965,-133,-156
980,78,-125
1000,43,-105
1004,156,-113
1008,47,-121
977,-74,-160
965,-90,-121
1047,78,-121
984,-4,-145
965,-82,-117
1035,102,-117
984,-23,-141
980,-59,-117
1039,113,-117
984,-12,-137
1023,-27,-141
1027,109,-121
969,20,-137
1039,117,-121
1008,59,-133
1000,-31,-129
957,-160,-125
1000,66,-125
1008,-8,-125
961,-145,-129
996,145,-125
1012,0,-121
988,133,-145
1035,70,-141
984,-35,-148
980,113,-125
980,-82,-117
988,-35,-145
992,31,-137
973,-98,-152
992,-12,-148
977,-90,-109
1039,74,-121
988,12,-141
1051,-94,-125
996,-51,-133
984,35,-137
1098,-63,-156
969,-148,-137
1000,43,-141
1023,-47,-125
957,-156,-152
1004,35,-125
1035,66,-125
1008,152,-121
1027,31,-121
977,-31,-152
961,-74,-113
1031,51,-129
977,-70,-141
977,-66,-109
1059,47,-137
988,-55,-148
1000,-27,-125
1016,82,-125
984,-43,-156
969,-90,-125
1023,70,-121
977,-27,-145
980,-98,-129
1023,16,-137
965,66,-145
1055,117,-121
992,98,-125
992,-23,-129
961,-133,-121
996,102,-125
961,8,-121
996,121,-152
1016,47,-125
969,-105,-156
973,78,-133
996,-43,-109
969,-82,-152
980,102,-121
1000,-55,-141
980,-59,-152
977,-94,-109
1016,20,-129
977,-27,-148
969,-98,-105
1020,82,-129
980,-8,-145
980,-90,-117
1035,121,-113
996,20,-129
1043,-74,-125
965,-148,-152
992,27,-133
1039,74,-121
1004,113,-125
1012,-12,-125
969,4,-129
969,-43,-117
996,8,-117
969,-125,-156
973,-35,-125
1012,23,-129
996,-133,-160
980,-35,-129
1023,31,-117
988,-121,-152
965,-86,-117
1020,35,-129
973,-90,-152
969,-90,-113
980,23,-133
973,102,-152
1070,117,-152
988,23,-141
992,-35,-121
973,-133,-121
1004,59,-141
984,-35,-133
969,-129,-152
1004,78,-141
996,-55,-125
988,-86,-137
1000,98,-129
1035,-27,-129
980,-90,-141
1004,113,-133
1016,-23,-152
969,-121,-152
1016,82,-125
1004,20,-125
1000,156,-121
1012,70,-121
984,-43,-141
973,-94,-121
1047,94,-121
980,-4,-133
977,-78,-109
1051,113,-121
988,12,-133
1031,82,-121
1012,78,-148
980,-35,-117
992,16,-117
977,-35,-129
1008,-20,-125
969,82,-125
961,-31,-117
1020,8,-125
957,-141,-152
980,-23,-113
1016,27,-125
980,-125,-164
977,-70,-117
1012,27,-121
992,-105,-160
965,-94,-125
1000,8,-129
992,-55,-145
973,-105,-133
1016,78,-125
977,90,-145
1047,113,-113
996,39,-137
1027,-27,-148
969,-133,-152
992,59,-137
1000,-47,-121
977,-109,-148
1012,90,-145
1027,-63,-117
977,-23,-145
1004,94,-133
1027,-23,-125
969,-133,-141
1000,98,-133
1020,-23,-125
949,-152,-156
1000,70,-125
1023,20,-121
988,152,-121
1027,63,-125
980,-47,-145
980,-94,-117
1016,74,-121
984,12,-129
1031,98,-129
1000,39,-141
984,-78,-121
969,74,-121
957,16,-129
1039,102,-125
1023,27,-113
1023,8,-125
988,152,-160
1031,66,-133
977,-35,-137
977,137,-121
984,-98,-133
996,-43,-125
977,-82,-109
1031,98,-125
996,-23,-148
984,-55,-117
1043,102,-125
988,-4,-141
949,-20,-125
1039,98,-113
984,27,-141
1039,102,-121
984,47,-125
992,-23,-133
969,113,-113
973,-23,-113
1004,-8,-129
