x,y,z
922,-8,-121
945,-63,-117
1016,55,-113
977,-78,-152
953,-74,-109
1027,20,-137
984,-59,-172
980,-94,-121
1027,70,-109
984,-35,-152
996,-39,-125
1035,94,-105
953,-16,-145
973,-59,-117
1051,113,-121
945,23,-152
1055,94,-125
996,90,-137
1000,-8,-129
980,-141,-117
969,78,-113
1016,12,-113
988,-125,-152
953,-43,-117
1016,47,-117
977,-39,-141
969,-63,-121
1016,63,-133
996,102,-152
1039,109,-117
934,39,-113
969,-74,-117
977,-133,-152
988,16,-137
973,-55,-117
973,-55,-129
1000,59,-148
1031,-63,-129
984,-113,-141
1000,94,-137
1020,-12,-125
961,-145,-148
1000,90,-129
1023,0,-117
980,148,-129
1047,4,-141
984,-78,-160
973,-86,-117
1020,59,-117
980,-63,-156
1012,-39,-105
1031,86,-105
973,-47,-141
969,-63,-113
1035,105,-121
1012,8,-152
1059,90,-137
996,78,-137
996,-23,-125
977,105,-117
1023,-20,-133
1004,-4,-113
969,74,-117
953,-27,-121
1004,23,-117
969,-43,-141
980,-51,-125
1008,43,-129
992,-82,-152
961,-90,-125
1012,12,-121
969,-78,-145
953,-74,-121
1031,70,-121
961,105,-156
1039,27,-145
988,39,-152
992,-70,-129
984,-113,-117
996,78,-137
1000,-23,-125
965,-141,-148
1000,70,-129
996,-8,-117
980,-156,-160
1004,74,-137
1059,0,-125
996,137,-141
1020,55,-113
984,-70,-160
988,86,-102
992,-78,-137
980,-43,-141
965,-66,-121
1039,105,-117
1008,0,-156
1047,-94,-141
992,-94,-133
992,16,-145
1039,-82,-129
973,-66,-148
984,35,-137
1035,82,-121
996,82,-133
1000,16,-113
1012,-59,-164
980,-47,-145
1004,31,-133
977,-86,-148
965,-74,-121
1016,0,-117
969,-98,-156
953,-63,-117
1027,63,-113
969,-82,-160
996,-27,-125
1031,82,-105
992,-27,-145
980,-86,-121
1039,98,-117
980,-4,-129
965,-90,-117
1004,78,-121
965,55,-137
1055,98,-117
980,55,-137
969,-16,-109
988,-109,-121
1000,109,-133
1012,0,-129
1000,98,-137
1031,63,-109
984,-63,-148
961,117,-117
1004,-105,-113
980,-20,-152
930,129,-109
992,-90,-137
984,0,-133
984,-86,-125
957,-82,-141
988,20,-137
1035,-23,-133
980,-129,-148
988,51,-137
1043,-16,-117
1004,-145,-172
1055,4,-117
1027,-23,-125
965,-145,-152
1008,86,-141
1027,27,-121
992,70,-121
1020,63,-121
984,-74,-152
973,-31,-121
1062,74,-156
1020,-27,-133
980,-82,-121
1039,105,-121
1000,-16,-145
965,-86,-117
961,70,-125
953,16,-141
1043,94,-117
996,55,-133
1047,-31,-152
996,55,-129
969,-35,-121
1016,4,-121
988,-94,-148
941,-63,-109
969,51,-121
977,-98,-152
953,-70,-109
1000,43,-109
1004,-66,-141
1004,-66,-121
1023,74,-117
984,-55,-148
980,-66,-137
1059,105,-117
1031,-8,-129
980,-70,-113
992,109,-113
969,47,-129
1020,82,-98
992,59,-129
1000,-12,-125
965,-145,-152
1000,94,-129
1020,4,-121
1023,16,-133
1031,70,-117
980,-63,-152
977,98,-121
988,-78,-133
992,35,-145
980,-78,-133
977,-121,-145
996,0,-148
1062,-82,-125
957,-16,-137
984,27,-148
1047,-51,-109
969,-109,-133
1008,82,-145
1008,-31,-141
961,-141,-145
1000,94,-129
1039,35,-129
1008,137,-133
1062,4,-145
984,-90,-148
961,-70,-125
1000,51,-121
996,-43,-168
1008,-47,-133
1031,78,-121
977,-39,-145
984,-70,-129
1051,105,-109
949,12,-148
1051,102,-117
988,70,-137
984,-23,-113
992,-121,-117
984,70,-121
1000,-12,-125
961,-141,-117
1000,105,-129
1020,12,-125
957,-39,-160
961,-51,-113
1004,43,-121
965,-86,-148
965,-82,-105
1035,12,-125
980,133,-152
1039,98,-117
988,-8,-156
980,129,-113
1012,-47,-109
984,23,-148
980,-43,-117
965,-109,-129
949,78,-113
1012,-31,-125
969,-148,-148
988,55,-125
1035,-27,-121
969,-156,-148
988,63,-133
1035,8,-117
980,105,-125
1016,47,-117
949,-70,-133
996,-35,-117
1031,78,-121
973,-59,-141
969,-74,-125
1047,98,-117
977,-23,-137
965,-70,-109
1016,78,-129
965,8,-145
1016,98,-113
973,59,-125
996,-35,-121
961,78,-125
957,-12,-129
1012,-8,-121
969,51,-137
945,-43,-113
992,39,-117
973,-102,-156
965,-74,-105
1004,23,-117
992,-105,-160
980,-39,-117
1031,59,-109
977,-86,-152
969,-55,-113
1035,82,-121
980,-12,-141
